Fecha,Sexo,Edad,Pasos diarios,Calorías quemadas,Horas de sueño,Calidad del sueño,Frecuencia cardíaca promedio,Nivel de estrés,Estado de ánimo
2024-01-21,Femenino,38,12015,3175,4.4,1,61,5,Estresado
2024-05-12,Femenino,59,8489,2069,8.1,5,86,9,Estresado
2024-01-15,Femenino,25,14889,2399,7.3,1,86,9,Neutral
2024-02-29,Femenino,33,4200,2063,5.9,1,92,10,Neutral
2024-06-19,Femenino,22,6404,3317,6.4,1,64,6,Neutral
2024-03-23,Masculino,58,14924,3117,8.9,1,80,4,Relajado
2024-02-24,Femenino,43,7921,2297,7.9,2,92,10,Neutral
2024-06-28,Femenino,21,13536,3433,6.9,3,93,6,Relajado
2024-01-18,Masculino,26,12930,3468,6.3,5,99,1,Estresado
2024-05-03,Masculino,53,13975,2861,6.5,1,70,3,Estresado
2024-06-26,Femenino,23,10216,2029,6.7,2,82,1,Neutral
2024-05-25,Femenino,25,7167,2029,7.5,1,85,6,Neutral
2024-03-30,Masculino,34,6390,2773,5.5,2,76,8,Estresado
2024-06-25,Femenino,44,10783,2108,8.9,3,78,9,Relajado
2024-01-04,Masculino,20,9193,2098,8.1,5,97,9,Estresado
2024-02-23,Masculino,53,7812,3496,4.6,4,78,10,Relajado
2024-03-06,Masculino,30,5602,2172,6.5,5,69,3,Relajado
2024-01-04,Masculino,34,14255,1971,5.1,2,96,6,Estresado
2024-02-12,Femenino,21,7738,2275,5.6,2,64,8,Neutral
2024-02-29,Masculino,61,14310,3251,8.2,1,64,5,Feliz
2024-03-30,Masculino,36,13730,2432,8.2,5,94,7,Feliz
2024-04-20,Masculino,58,13107,3397,4.8,4,91,7,Estresado
2024-03-12,Masculino,28,5226,1900,7.5,4,73,10,Relajado
2024-02-10,Femenino,64,8023,2135,5.2,4,85,10,Estresado
2024-01-23,Femenino,42,14077,1965,8.7,4,80,9,Estresado
2024-05-31,Femenino,42,6708,1999,5.6,1,69,3,Feliz
2024-01-31,Masculino,56,9106,3334,6.8,1,88,4,Feliz
2024-06-14,Masculino,31,14303,1859,6.9,3,80,10,Relajado
2024-04-22,Masculino,24,12677,2278,5.4,5,97,2,Relajado
2024-01-05,Masculino,45,7066,1881,7.7,4,92,8,Relajado
2024-01-10,Masculino,48,7799,3051,6.2,4,72,7,Estresado
2024-03-27,Masculino,58,5945,2777,6.1,2,72,7,Neutral
2024-03-13,Femenino,21,8352,2032,7.2,1,82,8,Relajado
2024-06-15,Masculino,37,10967,1916,4.4,5,98,10,Estresado
2024-03-18,Masculino,20,11353,3399,4.4,2,80,4,Relajado
2024-06-27,Femenino,48,10261,2022,7.3,3,77,7,Relajado
2024-06-27,Femenino,42,8751,2085,5.8,1,69,2,Relajado
2024-05-21,Femenino,55,10514,3287,4.4,3,90,7,Relajado
2024-05-26,Femenino,41,6837,3232,4.0,3,94,2,Estresado
2024-06-12,Masculino,37,3841,2039,8.7,5,70,5,Relajado
2024-02-14,Femenino,30,9841,2541,7.9,1,98,1,Relajado
2024-04-18,Femenino,46,8786,2250,7.8,4,62,10,Feliz
2024-03-27,Femenino,22,11961,1882,5.8,1,65,6,Neutral
2024-01-13,Masculino,43,8240,1810,8.0,2,67,7,Relajado
2024-04-02,Masculino,49,10433,3214,8.0,1,96,7,Estresado
2024-01-30,Femenino,57,13390,3196,6.2,2,84,2,Estresado
2024-04-16,Masculino,34,13575,2379,6.1,4,89,8,Estresado
2024-03-19,Masculino,60,9472,2427,7.1,4,71,5,Feliz
2024-05-13,Femenino,48,10611,2985,7.7,3,75,5,Feliz
2024-05-30,Masculino,34,5160,2637,4.9,2,79,9,Neutral
2024-02-06,Masculino,43,9082,3108,6.2,2,65,9,Relajado
2024-05-29,Femenino,32,5144,3112,7.4,5,96,4,Neutral
2024-03-19,Femenino,45,14142,2781,6.3,1,92,3,Neutral
2024-05-17,Masculino,60,12458,3447,5.1,5,84,4,Relajado
2024-04-24,Femenino,32,13221,2887,8.4,3,69,1,Relajado
2024-06-10,Femenino,55,13311,3022,4.2,2,94,5,Feliz
2024-01-30,Masculino,43,11006,3139,4.8,3,69,9,Relajado
2024-06-28,Masculino,36,12575,2264,5.1,4,95,5,Neutral
2024-01-19,Femenino,59,14539,2941,7.3,1,80,5,Neutral
2024-01-01,Femenino,56,14247,2524,5.6,2,71,6,Relajado
2024-05-18,Femenino,59,13238,2412,8.5,2,61,4,Estresado
2024-05-28,Femenino,30,9418,1868,6.7,4,68,1,Neutral
2024-01-12,Femenino,29,12133,3370,4.4,2,69,7,Estresado
2024-03-12,Femenino,34,10056,2737,4.7,3,88,6,Relajado
2024-03-06,Femenino,48,3736,2820,7.3,4,63,2,Relajado
2024-06-15,Masculino,57,13596,3151,7.6,1,78,10,Feliz
2024-02-13,Femenino,22,4206,3166,8.6,2,68,8,Relajado
2024-06-15,Femenino,59,10402,2761,6.6,5,92,7,Relajado
2024-04-15,Masculino,38,7006,3133,4.3,4,68,2,Relajado
2024-01-20,Femenino,57,14539,2439,6.7,1,67,1,Estresado
2024-05-29,Masculino,55,13945,3252,7.8,1,65,9,Neutral
2024-06-07,Femenino,20,11777,2549,8.2,3,73,8,Feliz
2024-06-24,Masculino,21,9333,2448,7.0,2,81,2,Relajado
2024-01-05,Femenino,19,4494,3283,7.5,5,71,5,Neutral
2024-01-27,Masculino,37,3687,3279,8.5,1,68,10,Estresado
2024-03-22,Femenino,64,8464,2829,6.8,3,88,1,Feliz
2024-02-16,Masculino,47,7362,3361,8.6,3,79,10,Neutral
2024-04-25,Masculino,62,4119,2373,8.7,2,67,7,Relajado
2024-03-14,Femenino,40,9340,1980,7.5,5,76,5,Estresado
2024-06-13,Masculino,49,12108,2006,6.9,4,70,8,Estresado
2024-01-16,Femenino,23,14331,3149,6.8,3,99,8,Neutral
2024-04-22,Masculino,48,12819,1944,6.4,3,69,3,Neutral
2024-04-29,Femenino,27,7132,3087,5.2,5,75,5,Feliz
2024-05-10,Masculino,18,5073,2602,8.2,4,76,1,Relajado
2024-02-20,Masculino,44,7696,1943,4.6,4,87,9,Neutral
2024-03-17,Masculino,33,12845,3208,8.8,3,99,5,Relajado
2024-02-04,Masculino,37,5447,3462,4.4,3,62,1,Neutral
2024-04-12,Masculino,51,11279,3419,8.3,5,65,1,Neutral
2024-01-02,Masculino,56,9702,2041,4.4,2,71,4,Neutral
2024-01-20,Femenino,30,12707,3206,7.0,3,85,9,Relajado
2024-02-03,Femenino,49,9434,2219,5.1,3,83,2,Relajado
2024-03-07,Masculino,38,5894,1934,6.0,1,89,1,Feliz
2024-01-07,Masculino,62,4922,2928,6.9,5,62,10,Relajado
2024-03-20,Femenino,57,13069,2906,4.1,2,67,9,Feliz
2024-06-19,Masculino,64,13913,2458,7.5,4,75,10,Feliz
2024-04-27,Masculino,56,9349,1896,6.3,2,97,6,Estresado
2024-03-13,Masculino,21,4452,2740,6.2,2,77,8,Feliz
2024-04-25,Femenino,53,5651,3121,5.4,3,80,5,Relajado
2024-03-20,Masculino,19,5379,2913,6.8,5,96,1,Estresado
2024-01-30,Femenino,34,7653,3031,5.2,1,91,7,Feliz
2024-06-06,Masculino,24,7890,2736,5.2,5,86,5,Estresado
2024-03-15,Femenino,26,7600,3467,8.4,2,64,1,Estresado
2024-06-25,Masculino,23,6211,2927,6.9,4,83,7,Estresado
